GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Total: - Under .50,Margin of Error; Total: - Under .50,Estimate; Total: - .50 to .99,Margin of Error; Total: - .50 to .99,Estimate; Total: - 1.00 to 1.24,Margin of Error; Total: - 1.00 to 1.24,Estimate; Total: - 1.25 to 1.49,Margin of Error; Total: - 1.25 to 1.49,Estimate; Total: - 1.50 to 1.84,Margin of Error; Total: - 1.50 to 1.84,Estimate; Total: - 1.85 to 1.99,Margin of Error; Total: - 1.85 to 1.99,Estimate; Total: - 2.00 and over,Margin of Error; Total: - 2.00 and over
1400000US44003021902,44003021902,"Census Tract 219.02, Kent County, Rhode Island",2555,165,116,83,231,166,30,28,140,84,208,140,10,16,1820,211
1400000US44003021903,44003021903,"Census Tract 219.03, Kent County, Rhode Island",3833,295,172,98,256,226,92,68,115,103,122,94,68,51,3008,357
1400000US44003022000,44003022000,"Census Tract 220, Kent County, Rhode Island",3250,321,81,55,196,147,256,217,125,90,247,159,42,61,2303,351
1400000US44003022100,44003022100,"Census Tract 221, Kent County, Rhode Island",5285,313,172,136,216,164,134,120,41,48,258,120,42,50,4422,458
1400000US44003022201,44003022201,"Census Tract 222.01, Kent County, Rhode Island",6807,418,63,49,161,157,71,52,236,219,230,140,69,69,5977,422
1400000US44003022202,44003022202,"Census Tract 222.02, Kent County, Rhode Island",3973,328,92,93,271,111,86,62,69,46,258,134,29,37,3168,365
1400000US44003022300,44003022300,"Census Tract 223, Kent County, Rhode Island",3864,289,243,126,258,146,188,169,202,110,501,223,37,51,2435,380
1400000US44003022400,44003022400,"Census Tract 224, Kent County, Rhode Island",2156,210,34,30,25,44,37,44,30,44,92,66,18,22,1920,207
1400000US44003980000,44003980000,"Census Tract 9800, Kent County, Rhode Island",0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13
1400000US44005040101,44005040101,"Census Tract 401.01, Newport County, Rhode Island",5199,402,184,128,202,155,76,72,133,131,149,120,128,155,4327,503
1400000US44005040102,44005040102,"Census Tract 401.02, Newport County, Rhode Island",5839,326,456,395,111,97,38,48,127,104,161,122,87,89,4859,367
